mjd,r,i,g,z,V,u
55700.95745745746,18.178237511975816,18.25658352028165,18.37044227890774,18.329554525799644,18.151774719165456,19.046499847643457
55701.085585585584,18.182755423623856,18.260745421288117,18.377086772587777,18.332800334847377,18.15737495060378,19.055516879754364
55701.21371371371,18.1872904029391,18.264922214975925,18.38376371642443,18.336057359759984,18.16299874776085,19.064592826953714
55701.341841841844,18.191842289951225,18.269113739096852,18.390472973343275,18.339325475745923,18.168645929090665,19.073727826983358
55701.46996996997,18.196410924680222,18.273319831499165,18.39721440447701,18.342604558872083,18.174316311681828,19.082922018094017
55701.5980980981,18.200996147156168,18.277540330148273,18.40398786914446,18.345894486084635,18.180009711257522,19.092175539019006
55701.72622622622,18.205597797437584,18.281775073145887,18.41079322482627,18.349195135228765,18.18572594217291,19.10148852894207
55701.85435435436,18.21021571563109,18.286023898750766,18.417630327142454,18.35250638506943,18.19146481741438,19.110861127465462
55701.98248248248,18.2148497419108,18.290286645398503,18.424499029828258,18.35582811531107,18.197226148598194,19.120293474576126
55702.11061061061,18.219499716539804,18.294563151724063,18.431399184713683,18.3591602066196,18.20300974597213,19.12978571061331
55702.238738738735,18.224165479891138,18.29885325658317,18.438330641700336,18.362502540642677,18.20881541841593,19.139337976233104
55702.36686686687,18.228846872468228,18.303156799073417,18.445293248738622,18.36585500003018,18.214642973441414,19.148950412369995
55702.494994994995,18.23354373492665,18.30747361855658,18.452286851804477,18.36921746845514,18.22049221719416,19.158623160197724
55702.62312312312,18.23825590809774,18.311803554682616,18.459311294880187,18.37258983063562,18.22636295445751,19.168356361093206
55702.751251251255,18.24298323301051,18.316146447411942,18.46636641993075,18.37597197235535,18.23225498865425,19.178150156592338
55702.87937937938,18.24772555091421,18.320502137038396,18.47345206688189,18.37936378048438,18.238168121849576,19.188004688346837
55703.00750750751,18.252482703303308,18.324870464214328,18.480568073600057,18.382765143001368,18.24410215475679,19.1979200980819
55703.135635635634,18.25725453194057,18.329251269974012,18.487714275870356,18.386175949014206,18.25005688674083,19.20789652754816
55703.26376376377,18.262040878882804,18.3336443957592,18.4948905073771,18.38959608878214,18.256032115825004,19.21793411847647
55703.39189189189,18.266841586503627,18.33804968344223,18.502096599679987,18.393025453735678,18.262027638694462,19.228033012522744
55703.52002002002,18.271656497521274,18.342466975353453,18.50933238219735,18.39646393649955,18.268043250705826,19.238193351222847
55703.648148148146,18.276485455023096,18.346896114305824,18.516597682183956,18.39991143091342,18.274078745892716,19.248415275934537
55703.77627627628,18.281328302492586,18.351336943621526,18.52389232471246,18.403367832053764,18.280133916974922,19.258698927784536
55703.904404404406,18.286184883834995,18.355789307157192,18.53121613265205,18.406833036254344,18.28620855536557,19.26904444760816
